Timestep,Samples,Activity Accuracy,Activity Macro F1,Gender Accuracy,Gender Macro F1,Mean Absolute Change,Root Mean Squared Change,Activity Accuracy Change,Gender Accuracy Change
Raw,240,0.7417,0.7414,0.7083,0.707,0.0,0.0,0.0,0.0
5,240,0.7042,0.7053,0.5542,0.4793,0.084,0.1206,-0.0375,-0.1542
10,240,0.7042,0.7024,0.4875,0.3718,0.1278,0.1828,-0.0375,-0.2208
20,240,0.6667,0.6634,0.4875,0.3718,0.1907,0.2694,-0.075,-0.2208
30,240,0.6667,0.6668,0.4875,0.3718,0.2226,0.3075,-0.075,-0.2208
40,240,0.6583,0.6614,0.4958,0.3925,0.2491,0.3397,-0.0833,-0.2125
