Timestep,Samples,Activity Accuracy,Activity Macro F1,Gender Accuracy,Gender Macro F1,Mean Absolute Change,Root Mean Squared Change,Activity Accuracy Change,Gender Accuracy Change
Raw,240,0.7417,0.7414,0.7083,0.707,0.0,0.0,0.0,0.0
5,240,0.7292,0.7279,0.7083,0.7076,0.0368,0.0517,-0.0125,0.0
10,240,0.7208,0.7189,0.6792,0.6785,0.0577,0.0813,-0.0208,-0.0292
20,240,0.7,0.6974,0.625,0.6237,0.0995,0.1392,-0.0417,-0.0833
30,240,0.6625,0.6612,0.6167,0.6154,0.1388,0.1933,-0.0792,-0.0917
40,240,0.6583,0.6585,0.5917,0.5888,0.1781,0.2463,-0.0833,-0.1167
