Timestep,Samples,Activity Accuracy,Activity Macro F1,Gender Accuracy,Gender Macro F1,Mean Absolute Change,Root Mean Squared Change,Activity Accuracy Change,Gender Accuracy Change
Raw,240,0.7417,0.7414,0.7083,0.707,0.0,0.0,0.0,0.0
5,240,0.7375,0.7363,0.6208,0.6193,0.072,0.1122,-0.0042,-0.0875
10,240,0.7208,0.7174,0.55,0.5455,0.1166,0.1729,-0.0208,-0.1583
20,240,0.65,0.6455,0.55,0.5485,0.2008,0.275,-0.0917,-0.1583
30,240,0.6042,0.5992,0.5542,0.5541,0.273,0.3647,-0.1375,-0.1542
40,240,0.6,0.6011,0.5458,0.5458,0.3367,0.4457,-0.1417,-0.1625
