Timestep,Samples,Activity Accuracy,Activity Macro F1,Gender Accuracy,Gender Macro F1,Mean Absolute Change,Root Mean Squared Change,Activity Accuracy Change,Gender Accuracy Change
Raw,240,0.7417,0.7414,0.7083,0.707,0.0,0.0,0.0,0.0
5,240,0.7042,0.7053,0.5542,0.4831,0.0841,0.1205,-0.0375,-0.1542
10,240,0.6917,0.6903,0.4958,0.382,0.128,0.1829,-0.05,-0.2125
20,240,0.6625,0.6612,0.5,0.3898,0.1918,0.2703,-0.0792,-0.2083
30,240,0.65,0.6516,0.5,0.3898,0.2246,0.3092,-0.0917,-0.2083
40,240,0.6292,0.6336,0.4875,0.3824,0.2531,0.3438,-0.1125,-0.2208
